tcode,description,module
OABL,C AM Reset Company Code,
OABM,Depreciation areas/Transfer of resvs,
OABN,Depreciation areas/ordinary deprec.,
OABS,Depreciation areas/Special deprec.,
OABT,Set Up Parallel Currencies,
OABU,Depreciation areas/Unplanned deprec.,
OABW,Depreciation areas/Replacement vals,
OABX,Deppreciation areas/Investmt support,
OABZ,Depreciation areas / Interest,
OAC0,CMS Customizing Content Repositories,
OAC1,C AM Leasing Types,
OAC3,SAP ArchiveLink: Links,
OACA,SAP ArchiveLink workflow parameters,
OACB,Customer name for evaluation group 1,
OACC,Customer name for evaluation group 1,
OACD,Customer name for evaluation group 1,
OACE,Customer name for evaluation group 1,
OACF,Customer name for evaluation group 1,
OACK,SAP ArchiveLink: Syntax check,
OACK_FRONTEND,Customizing Check Front End,
OACS,C FI-AA View maint. substitutions,
OACT,Maintain Categories,
OACV,C FI-AA View maint. validations,
OAD5,ArchiveLink: Customizing Wizard,
OADB,Define Depreciation Area,
OADB_WZ,Set Up Parallel Valuation,
OADC,Depreciation Areas: Area type,
OADFFCUST,DF Framework Customizing,
OADI,Maintain KPro Distribution Tables,
OAG1,SAP ArchiveLink Basic Settings,
OAG2,SAP ArchiveLink Basic Settings,
OAG3,SAP ArchiveLink Basic Settings,
OAG4,SAP ArchiveLink Basic Settings,
OAGL,Reset posted depreciation,
OAGZ,Maintain report selection,
OAK1,C AM Consist. Chart of Depreciation,
OAK2,C AM Consist. Company Code,
OAK3,C AM Consist. Depreciation Area,
OAK4,C AM Consist. G/L Accounts,
OAK6,C AM Consist. G/L accounts,
OAK7,Reconc. Account. as stat. cost element,
OAKB,Define asset for gain/loss,
OALO,Maintain KPro Locations,
OALX,Define Long Text Templates,
OAMK,Change Reconciliation Accounts,
OANR,Number Range Maintenance: ARCHIVELNK,
OAOA,FI-AA: Define asset classes,
OAOB,FI-AA: Assign company codes,
OAPL,C FI-AA: Set Chart of Depreciation,
OAQI,SAP ArchiveLink: Create Queues,
OARC,Maint. of retention periods FI-AA,
OASV,Enter G/L Account Postings,
OATB,Asgmt of dep.area to cross-sys.area,
OAV5,Index figures,
OAV8,"FI-AA C Def. Eval. Group, 8 places",
OAV9,C AM Asset hist. group view maint.,
OAVA,C AM Eval. Group View Maintenance,
OAVB,C AM View Maintenance Prop.Indicator,
OAVC,C AM Manual Valuat. View Maintenance,
OAVD,C AM Insurance Data View Maintenance,
OAVE,C AM View Maintenance Classif.NWTax,
OAVF,C AM View Maint. Insurance Companies,
OAVH,C AM View Maint. Period Control,
OAVI,C AM View Maint. Sort Versions,
OAVS,C AM View Maint. Period Rule,
OAVT,C AM View Maint. Insurance Premium,
OAVZ,C AM Call up report,
OAW1,Reason for investment,
OAW2,Maximum base value,
OAW3,Translation method,
OAWF,Assign Workflow Tasks,
OAWS,Maintain presettings,
OAWT,AW01- define value field texts,
OAWW,ArchiveLink: Workflow Wizard,
OAXB,Deprec. areas for transaction types,
OAXC,Deprec. areas for transaction types,
OAXD,Deprec. areas for transaction types,
OAXE,Deprec. areas for transaction types,
OAXG,Define Transaction Type,
OAXH,Deprec. areas for transaction types,
OAXI,Deprec. areas for transaction types,
OAXJ,Deprec. areas for transaction types,
OAY1,Special handling of transfer posting,
OAY2,Asset class: Low value asset check,
OAYA,Deprec. areas for transaction types,
OAYB,Limiting transaction type groups,
OAYC,Legacy data transfer: Depr. terms,
OAYD,Legacy data transfer: Man. entry FC,
OAYE,Legacy data transfer: Sequence,
OAYF,Legacy Data Transfer: Accumul. Depr.,
OAYG,Legacy data transfer: Calc.repl.val.,
OAYH,Depreciation area currency,
OAYI,Memo value of area,
OAYJ,Net book value is changeover amount,
OAYK,Low-value assets,
OAYL,Individual period weighting,
OAYM,Permit group asset for area,
OAYN,Assign bal.sheet/inc.stmt to area,
OAYO,Rounding specific. for deprec. area,
OAYP,Shortening rules for shortened FY,
OAYQ,Gross/net resrvs.for special deprec.,
OAYR,Posting rules for depreciation,
OAYS,Special treatment of retirement,
OAYT,Transact.type for proportional vals,
OAYU,Capitaliztn of dwn-paymnts (transfr),
OAYZ,Asset class: Depreciation areas,
OAZ1,Validation Rules for Trans.Typ.Grp.,
OB00,C FI Maintain Table T030 (RDF),
OB04,C FI Maintain Table T030F,
OB07,C FI Maintain table TCURV,
OB08,C FI Maintain table TCURR,
OB09,C FI Maintain Table T030H,
OB13,C FI Maintain Table T004,
OB20,C FI Maintain Table T078D,
OB26,C FI Maintain Table T078S,
OB28,C FI Maintain Table T001D,
OB37,C FI Maintain Table T001 (PERIV),
OB39,C FI Maintain Table TRAS,
OB40,C FI Maintain Table T030,
OB42,C FI Maintain Table T056Z,
OB48,C FI Maintain Matchcode SAKO,
OB49,C FI Maintain Matchcode DEBI,
OB50,C FI Maintain Matchcode KRED,
OB51,C FI Maintain Table T024P,
OB52,C FI Maintain Table T001B,
OB53,C FI Maintain Table T030,
OB55,C FI Maintain Table TFAV,
OB62,C FI Maintain Table T001 (KTOPL + 2),
OB65,C FI Maintain Table T001 (XGSBE),
OB69,C FI Maintain Table T001,
OB72,C FI Maintain Table T001O,
OB77,C FI Maintain Table T048/T048T,
OB78,C FI Maintain Table T048B,
OB80,C FI Maintain Table T043K,
OB83,C FI Maintain Table T056P,
OB89,C FI Maintain Table T030,
OB90,C FI Maintain Table T001R,
OB98,C FI Maintain Table T059F,
OBA1,C FI Maintain Table T030,
OBA3,C FI Maintain Table T043G,
OBA5,Change Message Control,
OBA7,C FI maintain table T003,
OBAA,C FI Maintain Table T056S,
OBAC,C FI Maintain Table T056R,
OBAV,C FI Maintain Table T049E,
OBB0,C FI Maintain table T030 valuatn adj,
OBB2,C FI Maintain Table TFMC,
OBB3,C FI Maintain Table TFMC,
OBB4,C FI Maintain Table TFMC,
OBB5,C FI Maintain Table T001,
OBB7,C FI Maintain Table TGSB,
OBB9,C FI Maintain Table T052S,
OBBD,C FI Maintain Table T045T,
OBBH,C FI Maintain Table T001Q (Document),
OBBI,Maintain G/L Account Field Groups,
OBBJ,Maintain Sample Account Field Groups,
OBBT,C FI Table T030 Maintenance GLU+GLU,
OBBU,C FI Maintain Table T044K List,
OBBV,C FI Maintain Table T030 BI2+SPACE,
OBBW,C FI Maintain Table T030 BI3+A00,
OBBX,C FI Maintain Table T030 BI4+SPACE,
OBC4,C FI Maintain Table T004V,
OBC5,C FI Maintain Table T001,
OBC6,C FI Maintain Table T001,
OBC7,C FI Maintain Table T059Q,
OBCC,C FI Maintain Table T076K,
OBCD,C FI Maintain Table T076M,
OBCE,C FI Maintain Table T076S,
OBCF,C FI Maintain Table T007F,
OBCG,C FI Maintain Table T007K,
OBCH,C FI Maintain Table T007L,
OBCI,C FI Maintain Table T007I,
OBCL,FI Table Maint. T001 (MWSKV+MWSKA),
OBCM,C FI Maintain Table T007F,
OBCN,C FI Maintain Table T007B,
OBCO,C FI Maintain Table TTXD,
OBCQ,C FI Table T053G Maintenance,
OBCU,C FI Table T053C Maintenance,
OBCW,C FI table T053D maintenance,
OBD4,C FI Maintain Table T077S,
OBDC,C FI Maintain View Cluster V_T060K,
OBDF,C FI Maint.view cluster V_T060o,
OBDI,C FI Maintenance of Table T007Z,
OBETX,Number Assignment for Ext. Tax Docum,
OBF4,C FI maintain table T003,
OBG1,C FI Maintain tbl T030 offsttng Account,
OBH1,C FI Doc.No.Range: Copy Company Code,
OBH2,C FI Doc.No.Range: Copy Fiscal Year,
OBIC,Customizing Selection BIC,
OBICOBJ,Define Object Types and Parameters,
OBIC_DIS,Display SAP Standard Selection BIC,
OBKG,Correspondence Sel.Criteria Letters,
OBKR,Maintain Number Range: FI_RECEIPT,
OBL3,Consistency Check: Sp.G/L (Docu.),
OBL4,Consistency Check: Sp.G/L (Err.Anly),
OBL5,Consistency Check: Pmnt Prog.Config.,
OBL6,Consistency Check: Dunn.Prog.Config.,
OBPM4,Payment Medium Selection Variants,
OBPM5,Cross-Payment Run Payment Medium,
OBR2,Delete Subledger Accounts,
OBS2,C FI Change Ledger,
OBT1,C FI Maintain Table TTXID (KNA1),
OBT10,C FI Maint. Table TTXID (DOC_ITEM),
OBT2,C FI Maintain Table TTXID (KNB1),
OBT3,C FI Maintain Table TTXID (KNKK),
OBT3Z,C FI Maintain Table TTXID (KNKA),
OBT4,C FI Maintain Table TTXID (LFA1),
OBT5,C FI Maintain Table TTXID (LFB1),
OBT6,C FI Maintain Table TTXID (SKA1),
OBT7,C FI Maintain Table TTXID (SKB1),
OBT8,C FI Maintain Table TTXID (BELEG),
OBU1,Document Type/Posting Key Options,
OBV1,C FI Int.For Dys Overdue Account Deter.,
OBV2,C FI G/L Account Bal.Int.Calc.Account Det.,
OBV3,C FI Cust.Bal.Int.Calc.Account Determ.,
OBV4,C FI Vend.Bal.Int.Calc.Account Determ.,
OBV9,C FI Act Det.Vendor Intrst on Arrs,
OBWA,C FI Table VBWF01+VBWF02 Maintenance,
OBWE,C FI Table VBWF06+VBWF07 Maintenance,
OBWF,C FI Table VBWF09+VBWF10 Maintenance,
OBWG,C FI Table VBWF04 Maintenance (Cust),
OBWH,C FI Table VBWF04 Maintenance (Vend),
OBWI,C FI Table VBWF04 Maintenance (G/L),
OBWJ,C FI Table T001 Maintenance (WFVAR),
OBWK,C FI Table VBWF04 (Assets),
OBWO,C FI Withholding Tax,
OBWP,Payment release by authorized person,
OBWS,C FI Withholding Tax,
OBWU,C FI Withholding Tax,
OBWW,C FI Withholding Tax,
OBWZ,Number Range Maintenance: WITH_CTNO,
OBX1,C FI Table T030B: G/L Account Posting,
OBX2,CO-FI Table T030B Document Splitting,
OBXA,C FI Table T030,
OBXB,C FI Table T030,
OBXC,C FI Table T030,
OBXD,C FI Maintain Table T030,
OBXE,C FI Table T030,
OBXH,C FI Table T041A/T041T,
OBXI,C FI Table T030,
OBXJ,C FI Table T030B,
OBXK,C FI Table T030,
OBXL,C FI Table T030,
OBXM,C FI Table T030,
OBXO,C FI Table T030 KDW,
OBXP,C FI Maintain Table T030 zaf,
OBXQ,C FI Table T030 KDZ,
OBXR,C FI Table T074,
OBXS,C FI Table T030,
OBXT,C FI Table T074,
OBXU,C FI Table T030,
OBXV,C FI Table T030,
OBXW,C FI Table T030B Cleared Invoices,
OBXY,C FI Table T074,
OBXZ,C FI Table T030 G/L Accont Clearing,
OBY6,C FI Maintain Table T001,
OBY8,C FI Delete Chart of Accounts,
OBYA,C FI Table T030,
OBYC,C FI Table T030,
OBYD,C FI Table T030,
OBYE,C FI Table T030,
OBYG,C FI Table T030,
OBYH,C FI Table T030,
OBYK,C FI Table T045W,
OBYL,C FI Table T030 HRI + HRC,
OBYM,C FI Table T074 Bill of Exchange,
OBYN,C FI Table T074 Bill Receivable,
OBYP,C FI Table T074 Check/Bill of Exch.,
OBYR,C FI Table T074,
OBYS,C FI Table T074 Tangible Fixed Asset,
OBYT,C FI Table T030 HRI + HRD,
OBYU,C FI Table T030 HRI + HRD,
OBYY,C FI Table T030 Maintenance KDT/KDT,
OBZT,Single Screen Transaction Tax Code,
OB_GLACC11,G/L Account record: Mass maintenance 01,
OB_GLACC12,G/L Account record: Mass maintenance 02,
OB_GLACC13,G/L Account record: Mass maintenance 03,
OB_GLACC21,Configuration G/L account record,
OB_GLACC31,Assign G/L Account Change Request,
OB_VAR_FBWAPI0,FI Cust.: INet/Service Variants,
OB_VAR_FBWARI0,FI Cust.: INet/Service Variants,
OC08,C FI-LC : Table T856,
OC47,Maintain E/R Types for Crcy Transl.,
OCBV,Reconcile Extended G/L Accounts,
OCCC,Maintain Group Account,
OCCI,Cons. Integrationration Settings,
OCCP,Print G/L account / group account,
OCCS,Validate GL Account Group Account,
OCDZ,Cons stag. ledger: delete trans data,
OCFV,Organizational area restrictions,
OCHS,Set system messages,
OCLM1,Task Customizing,
OCLM2,Claim Field Selection: General,
OCM1,Backgrd Job: Processing Init.Objects,
OCM2,Backgd Job: Processing Proc.Elements,
OCMI,Import models cost elements,
OCNRC,Search Schema for CN Batch Detmntn,
OCPP,GG Price Protection by Sales Org.,
OCR1,Payment Cards: Check Results,
OCR2,Payment Cards: Check Results,
OCR3,Payment Cards: Check Results,
OCR4,Payment Cards: Check Results,
OCUW,Assign Worklist Folder to Users,
OCWT,Define Worklist Folder,
OCZ2,FI-SS: Change Cons Staging Ledger,
OD00,Number ranges for documents,
OD12,Maintain Number Range for Vaults,
OD41,Global DMS Settings,
OD51,Control Parameters,
OD55,Functions,
OD56,Assign Field Sets,
OD57,Field Names,
OD58,Field Sets SAP->CAD,
OD59,Field Sets,
OD65,User Functions,
OD71,Change conditions table (DMS),
OD75,Output Types for Documents,
ODELGRP1,Number Range Maintenance: AUTO_SUEDG,
ODI1,Number range for distr. order Id,
ODI2,Number range for initial order Id,
ODI3,Number range for dist.order pack. Id,
ODI4,Number range for partial order Id,
ODI5,Number range for original files,
ODI6,Number range for recipient list,
ODOC,Activate Docmt Mgmt for Batches,
ODP1,DIP Profile,
ODP2,DIP Profile: Consistency Check,
ODP4,Determine Cost Condition,
ODP5,Residence Time for DIP Sources,
OEXW,Define Warning and Error Date,
OFD8,Delete Commitment Item From G/L Account,
OFP1,Maintain Transfer Price Number Range,
OFP2,Access Seqs: Packing Object Determ.,
OFP3,Condition types: Pack.obj.determin.,
OFP4,Procedure: Pack.obj.determination,
OFP5,Condition table: Pack.obj.determin.,
OFP6,Condition table: Pack.obj.determin.,
OFP7,Condition table: Pack.obj.determin.,
OFP8,Field catalog pack.obj.determination,
OFPM,Change Message Control,
OG00,Personnel Administration Customizing,
OG01,Personnel Administration Customizing,
OG04,Customizing: Country-Spec. Features,
OG30,HR:call SM30 subobjects individually,
OG42,Customizing Tool for PA42,
OGS8,Delete tax table entries,
OH00,Access Subset View,
OH02,Call View Cluster with Subset Views,
OH11,Copy Wage Types,
OH12,Access View for T512W,
OH13,HR Customizing: Wage Type Grouping,
OH14,Access Subset View for Check Table,
OH16,Call RPUCTF00 with Var. SAP_OH16,
OH18,HR Customizing: Absence Docu.,
OH19,Access Transaction OH20,
OH21,Supply Parameters for PE51,
OHX2,Maintain wage types for remittance,
OHX3,Maintain number ranges for 3PR,
OHX4,Number range for 3PR,
OHX5,Number range for tax reporting,
OIAA,ABC Indicator,
OIAB,Plant Sections,
OIAD,Field sel. equipment-specific fields,
OIAE,Field selection funct.loc/ref.loc,
OIAF,Field sel. equipment/functional loc.,
OIAJ,Field sel. for (ref) funct. location,
OIAL,Field Selection for PM Notifications,
OIAN,Field Selection Order Header Data,
OIAO,Field Select. Ref. Obj. PM Notific.,
OIAT,Object Cat. Transaction Def. Value,
OIAW,Stats. Currency: Info System,
OIAY,Field Selection Order Header Service,
OIAZ,Field selection functional location,
OIB1,Maintain inv.program budget profile,
OIB3,Budget profile: proj.->invst.prg.typ,
OIB4,Budg. profile order -> inv.prog.type,
OIB5,Depreciation areas/value transfer,
OIB9,TL list - production resource/tool,
OIBC,List Task Lists (M.-Lev.) Eqpmt Data,
OIBD,List Task Lists (M.-Level) Loc. Data,
OIBS,Maintain Status Profiles,
OIBY,List Display of Goods Movements,
OICA,User-Specif. Settings f. BOMs,
OICB,BOM Modification Parameters,
OICC,BOM Default Values,
OICD,BOM Usage,
OICE,BOM Usage Default Values,
OICF,DefltVals f. Copying Item Status,
OICG,Valid Material Types in BOM,
OICH,BOM Status,
OICJ,BOM Usage Priorities,
OICK,Item Categories,
OICL,BOMs with History Requirement,
OICM,Variable-Size Item Formulas,
OICMPD,Field Selection for Components PM/CS,
OICMPL,Field selection component list PM/CS,
OICN,Spare Part Indicators,
OICO,Material Provision Indicators,
OICP,Valid Material Types for BOM,
OICQ,Application-Specific Criteria,
OICS,Alternative BOM Selection,
OICT,C PM BOM Application,
OICX,BOM Item Object Types,
OID1,Shop Papers,
OID2,Shop Papers by Document Type,
OID3,User-Specific Print Control,
OID4,Activate Print Diversion,
OID5,Print Diversion Values,
OIDA,PM Shop Papers for Notifications,
OIDB,PM Shop Papers by Notification Type,
OIDC,PM Notifs - User-SpecifPrintControl,
OIDD,PM Print Diversion for NotifPapers,
OIDE,PM NotifPrintDivers. by FldContent,
OIDF,PM Shop Papers for Orders,
OIDG,PM Shop Papers by Order Type,
OIDH,PM Orders - User-SpecifPrintControl,
OIDI,PM Shop Paper Print Diversion,
OIDJ,PM OrdPrintDivers. by FldContent,
OIDV,Download SAP Tables into MS Access,
OIEN,Equipment Number Ranges,
OIEV,Allocate PartnrDetProc. to EqCateg.,
OIEZ,Insert Usage Period,
OIF1,Partner schema for app. request,
OIF2,Maint. of plan profile f. app.req.,
OIF3,Maint.- plan profile app.r. cash flw,
OIFL,Vehicle List,
OIGN,List Editing of Permits,
OIK2,Maint. of PM value cat. assignments,
OIKS,Maintenance of Cost Estimate Version,
OIL0,Number Ranges: FunctLoc.Task Lists,
OIL1,Task List Status,
OIL4,Task List Number Ranges,
OIL5,Equipment number ranges,
OIL6,Operation Default Value Profiles,
OILJ,User Fields,
OIM1,PM Notification Workflow Settings,
OIM2,SM Notification Workflow Settings,
OIM9,Service Notif. Special Parameters,
OIMD,Object Info Parameters,
OIMF,Service Window,
OIMN,Customizing setting table TQSCR,
OIMRC,Field Selection Meas.Points & Docs,
OINM,Object Link Medium,
OIO2,Priorities by Priority Types,
OIO4,Default MAT by Order Type,
OIO5,Valid MATs by Order Type,
OIO6,Default Control Keys,
OIO9,Operation Units: Duration/Work,
OIOA,Maintenance Order Types,
OIOB,Revisions,
OIOD,Valid Order Types by PlanPlant,
OIOF,Costing Parameters,
OIOG,Maintenance Order Status Profile,
OIOI,MatAvailCheck Control,
OIOJ,Object Info Parameters f. Order Type,
OIOK,Posting Rules,
OIOL,Service Order Indicator,
OIOM,Assign PartnDetermProc. to OrdType,
OION,Order number ranges,
OIOPD,Field Selec. for Order Opertn Detail,
OIOPL,Field Selec. for Order Opertn Detail,
OIOS,Default Planning Indicator,
OIOT,Scheduling Type,
OIP1,Maintain inv.prog. planning profile,
OIPG,Maintenance of Permit Group,
OIPK,FunctLocation StructIndicators,
OIPSMDMAT,Field Selection for PS Components,
OIPSMKMAT,Field Selection PS Component List,
OIPU,Alternative Indicator Syst. Settings,
OIPV,Functional Location Labeling Systems,
OIR0,Task lists (multi-lvl)- Test eqpmt,
OIR1,FieldSel. PartnType Customer,
OIR2,FieldSel. PartnType Vendor,
OIR3,FieldSel. PartnType Personnel No.,
OIR4,FieldSel. PartnType Contact Person,
OIR5,FieldSel. PartnType OrganiznUnit,
OIR6,FieldSel. PartnType Position,
OIR7,FieldSel. PartnType User,
OIR8,Field Selection for General Address,
OIRA,Field selectn serial no. RefurbOrder,
OIRB,PM Object Contracts,
OIRC,Multi-Level EquipList - Permit,
OIRE,Field Sel. Serial No. Product. Order,
OIRE1,Field Selection Serial No. Inventory,
OIRE2,Field Selection for Serial No. in PO,
OIRE3,Field Selection for Serial No. in PR,
OIRF,Measuring Point List,
OIRG,Multi-Level Order List - Permit,
OIRH,Order List (M.-Lev.) - Iss. Permits,
OIRI,Location List (Multi-Level) - Permit,
OIRL,Measurement Document List,
OIRM,FieldSelect. Ser.No. Goods Movement,
OIRN,FieldSelect. Ser.No. Delivery,
OIRO,FieldSelect. Ser.No. Inspection Lot,
OIRP,FieldSelect. Ser.No. Sales Order,
OIRQ,FieldSelect. Ser.No. PM Order,
OIRR,Field Sel. Serial No PM Notification,
OIRS,Multi-level Order List: Sub-Orders,
OIRT,List Task Lists (M.-Level) - Header,
OIRU,List Task Lists (M.-Lev) - Operation,
OIRV,List Task Lists (M.-Lev.) - Sub-Optn,
OIRW,List Task Lists (M.-Lev.) - Relships,
OIRX,List Task Lists (M.-Lv) - Components,
OIRZ,List Task Lists (M.-Lv) - Maint.Pkg.,
OIS1,Global Parameters for Serial Numbers,
OIS2,Maintain serial number profile,
OIS3,Task Lists (Multi-lvl)- ServPackages,
OIS4,Task List (Mul.lev.) - ObjectDepend.,
OIT1,Special Character Position Coding,
OIT2,Coding Masks for Inv. Prog. Position,
OIT8,Budget categories,
OITA,Investment profile,
OITB,Inv. Profile - AuC per Source Assgn.,
OITL,Field selection for app. request,
OITM1,User name for user field 1,
OITM10,User name for user field 10,
OITM11,User name for user field 11,
OITM12,User name for user field 12,
OITM13,User name for user field 12,
OITM14,User name for user field 12,
OITM2,User name for user field 2,
OITM3,User name for user field 3,
OITM4,User name for user field 4,
OITM5,User name for user field 5,
OITM6,User name for user field 6,
OITM7,User name for user field 7,
OITM8,User name for user field 8,
OITM9,User name for user field 9,
OITN,Assign workflow tasks,
OITO,Master Data Tab,
OIUB,Field Sel. Equipment Usage List,
OIUC,Equipment List - CS,
OIUF,Functional Location List - CS,
OIUI,Order List - CS,
OIUK,Order list (multi-lev.) - goods mvmt,
OIUL,Order list (multi-lev.)-relationship,
OIUN,Order list (multi-lev.) costs/rev.,
OIUO,Func.loc.list (multi-lev)-meas.point,
OIUOR,R.P. List (Multilev.)- Ref. Meas.Pt,
OIUP,Func.loc.list (multi-lev)-meas.doc.,
OIUQ,Equi.list(multi-lev)-measuring point,
OIUR,Equi.list(multi-lev)-measuring doc.,
OIVC,Check Report for Value Categories,
OIW0,Detail Info (MaintPlan),
OIW1,Activities list display,
OIW3,List of Order Confirmations,
OIW5,Maintenance dates list display,
OIW6,FunctLocation list - PM,
OIW7,Reference location list,
OIW8,Material List,
OIWD,Object Networks - Objects (FL),
OIWE,Equipment Structure Display,
OIWI,PM Notification List,
OIWK,CS Notification List,
OIWL,PM order list,
OIWM,Component Structural Display,
OIWO,List of PM task lists,
OIWP,Functional Location Structure,
OIWQ,Installed Base Structural Display,
OIWR,Reference Location Structure,
OIWU,PM Operation List,
OIWW,Maintenance plan list,
OIWY,Maintenance item list,
OIX2,Multi-Lev.FunctLocList - FunctLoc.,
OIX2R,R.P. List (Multilevel) - Ref. Locat,
OIX3,Multi-Lev.FunctLocList - EquipUsage,
OIX4,Multi-Lev.FunctLocList - Equipment,
OIX5,Multi-Lev.FunctLocList - Partners,
OIX6,Multi-Lev.FunctLocList - Notifictn,
OIX7,Multi-Lev.FunctLocList - Order,
OIX8,Multi-Lev.FunctLocList - Class,
OIX8R,R.P. List (Multilevel): Class,
OIX9,Multi-Lev.FunctLocList - Chrctrstic,
OIX9R,R.P. List (Multilev)- Characteristic,
OIXA,Multi-Lev.FunctLocList - Document,
OIXAR,R.P. List (Multilevel) - Document,
OIXB,Multi-Lev.FunctLocList - Object Link,
OIXC,Multi-Lev.EquipList - Equipment,
OIXD,Multi-Lev.EquipList - EquipUsage,
OIXE,Multi-Level EqList - FunctLocation,
OIXF,Multi-Lev.EquipList - Partners,
OIXG,Multi-Lev.EquipList - Notification,
OIXH,Multi-Lev.EquipList - Order,
OIXI,Multi-Lev.EquipList - Class,
OIXJ,Multi-level EqList - Characteristic,
OIXK,Multi-level EqList - Document,
OIXL,Multi-level EqList - Object Link,
OIXM,Multi-Level NotifList - Notification,
OIXN,Notif. List (M.-Lev.) - Funct. Loc.,
OIXO,Notif. List (Multi-Lev.) - Equipment,
OIXP,Multi-Level NotifList - Partners,
OIXQ,Notif. List (Multi-Level) - Item,
OIXR,Multi-Level NotifList - Activity,
OIXS,Multi-Level NotifList - Class,
OIXT,Notif. List (Multi-Lev.) - Charact.,
OIXU,Notif. List (Multi-Level) - Task,
OIXV,Multi-Level NotifList - Order,
OIXW,Multi-Level Order List - Order,
OIXX,Multi-Level Order List - FunctLoc.,
OIXY,Multi-Level Order List - Equipment,
OIXZ,Multi-Level Order List - Notif.,
OIY9,Scheduling Overview,
OIYC,Equipment list,
OIYG,Confirmations list for PM operations,
OIYH,Serial number list,
OIYJ,Object Links - Objects (EQ),
OIYL,Detail Info (Order Operation),
OIYP,Multi-Level Order List - Partners,
OIYQ,Multi-Level Order List - Operation,
OIYR,Multi-Level Order List - Component,
OIYS,Multi-Level Order List - CompConf.,
OIYT,Multi-Level Order List - PRTs,
OIYV,Notifictn list (multi-level) - cause,
OIYW,List of Tasks,
OIYZ,Notification Item List,
OIZ2,Default Value Keys,
OIZA,Maintain Work Center Categories,
OIZD,Maintain Task List Usage,
OIZL,Formula Parameters,
OIZM,Formula Definition,
OIZN,Field Sel. for Confirmation PM Order,
OIZU,Work Centers Screen Sequence,
OIZV,Work Center Default Values,
OJI1,Nummernkreispflege: PABHD,
OJI3,Maintain Time Definitions,
OJIN1,Maintain Cond. Table: Sum. JIT Call,
OJIN3,Maintain Mess. Types: Sum. JIT Call,
OJIT15,Number Range Maintenance,
OJIT22,JIT: Assign Operator Tasks,
OJIT23,JIT: Activate Event Linkage,
OJIT55,Number Range Maintenance JITO_HD_01,
OJIT56,Number Range Maintenance PABHD,
OJIT57,Number Range Maintenance JITO_DLCN,
OJIT62,Vendor-specific Number Ranges,
OK01,Controlling Area: Components/StKFs,
OK02,Maintain Status Profiles,
OK11,Number Ranges for Cost Plg/Budgeting,
OK16,Planner Profiles: Maint. Auth.Group,
OK17,Reconciliation Ledger: Account Determ.,
OK60,Maintain Number Range: IRW_PFLEGE,
OKA4,Maintain Attribute Groups,
OKA6,Maintain Cost Element Attributes,
OKA8,Change Primary Posting Price Var.,
OKB3,Batch Input for Cost Elements,
OKB6,Generate Cost Center Accountg. Reports,
OKB9,Change Automatic Account Assignment,
OKBA,Transfer FI Documents to CO,
OKBB,Transfer MM Documents to CO,
OKBC,Transfer SD Documents to CO,
OKBF,Import Planning Layouts,
OKBG,Post Down Payments,
OKC3,Delete transaction data,
OKC4,Delete Cost Centers,
OKC5,Delete cost elements,
OKC6,Delete Activity Types,
OKC7,Define Validation,
OKC9,Define Substitution,
OKCC,Maintain Sender Structures,
OKCDBD,Create sender structure package,
OKCE,SAP-EIS: Set up data collection rep.,
OKCG,CO-BPC Maintain Transfer Rules,
OKCH,Create key figure groups TKCKU,
OKCK,Generate Master Data Maint. Modules,
OKCL,Sort into report portfolio T242E,
OKCP,Reorganize EIS field catalog,
OKCSL,Process Data Slices,
OKCX,"Change ""All Currencies"" Indicator",
OKCY,Number range record no. in EIS/BP,
OKD3,Import CO-CCA Reports,
OKD6,Import Individual Reports,
OKE10,Transport Organization Customizing,
OKE5,Transport Organization Customizing,
OKE6,Transport Mater Data Settings,
OKE7,Transport Planning Settings,
OKE8,Transport Actual Posting Settings,
OKE9,Transport Tool Settings,
OKEA,Maintain Cost Center Matchcode IDs,
OKEC,Maintain Cost Element Matchcode IDs,
OKEE,Maintain Activity Type Matchcode IDs,
OKEG,Change Time-Based Fields/Cost Ctrs,
OKEI,Maintain Time-Based Fields/Act.Types,
OKEK,Maintain Time-Based Fields/CElems,
OKENN,Display Standard Hierarchy,
OKEON,Change Standard Hierarchy,
OKEP,Down Payment: Maintain Default CElem,
OKEQ,Maintain Versions (General),
OKEQN,General Version Maintenance,
OKER,Define Component/Switching Structure,
OKES,Maintain Splitting Structure,
OKET,Maintain Price Calculation Settings,
OKEU,Change Source Structure,
OKEV,Maintain Versions (CO Area),
OKEW,Splitting: Assignment KOSTL -> SCNAM,
OKEX,Transport Planning Layouts,
OKEZ,Change Time-Dependent Field/Process,
OKF1,Change Budget Planning Profile,
OKG1,Results Analysis Keys,
OKG2,Results Analysis Versions,
OKG3,Customizing Valuation Methods,
OKG4,Update for Results Analysis,
OKG5,Customizing Assignment,
OKG6,No. Ranges Results Analysis CO Doc.,
OKG8,Posting Rules for Res. Analysis Data,
OKG9,Results Analysis Versions for WIP,
OKGA,Update for WIP Calculation,
OKGB,Customizing Assignment,
OKGC,Customizing: WIP Valuation,
OKGD,Customizing: WIP Valuation,
OKGK,Maintain Capitalization Percentages,
OKI1,Activity numbers for activity types,
OKI2,Activity numbers for cost elements,
OKI3,Activity numbers for stat. key fig.,
OKIP,Costing variants: Simulation costing,
OKIQ,Costing types simulation costing,
OKIR,Movement variants simulation costing,
OKK4,Valuation Variants for Prod. Costing,
